"","salienceData.caseId","salience.est","salience.sd","early.salience.est","early.salience.sd","probit.salience.est","probit.salience.sd"
"2244","1970-089",-0.462916819449576,0.811760548384866,-0.278977353510615,0.903103284529593,-0.545726072669431,0.762992833575804
"2245","1970-090",0.107398287132771,0.746469139100393,-0.271843316423177,0.914172768936273,0.312235654356211,0.591289971475518
"2246","1970-091",0.100265398471822,0.749337037734792,-0.252251472344806,0.881759513086107,0.327726417164395,0.612182339352132
"2247","1970-092",-0.48554170864239,0.830333574500934,-0.236916524034813,0.888580204223861,-0.571962986392686,0.773326718360596
"2248","1970-093",-0.500037353309127,0.825916536592317,-0.249292127029458,0.880006750139443,-0.55521371129504,0.808620839428881
"2249","1970-094",0.0703127237668578,0.755210630684927,-0.270269461654921,0.883204199069617,0.292174005458967,0.614327683008283
"2250","1970-095",-0.460748618628758,0.822346789786112,-0.292820264155692,0.89739532919208,-0.557297639686901,0.778964182896781
"2251","1970-096",-0.434044764591265,0.818182361708894,-0.264562872914387,0.912514472278102,-0.571446801743478,0.796170412423997
"2252","1970-097",-0.481862778683385,0.839051739589317,-0.280807692907076,0.876626010041118,-0.530002297946509,0.78722537333872
"2253","1970-098",0.310694266415756,0.713920100785337,0.00212797082120834,0.876049381897972,0.575182164063483,0.566230726531728
"2254","1970-099",0.572577582891699,0.668894370514695,-0.236414098237674,0.881481638885728,0.293635649946696,0.612093124781976
"2255","1970-100",-0.214419218493526,0.785906909942276,-0.00859823585123577,0.859065049208456,-0.0861707542471597,0.671557677825912
"2256","1970-101",-0.48722050116861,0.800728095064006,-0.285653613942495,0.89660566228552,-0.548170709139598,0.773883515541802
"2257","1970-102",0.322727433157809,0.70215036079638,0.645919024471118,0.770954243618883,0.609963489643708,0.552297772608209
"2258","1970-103",0.0800364913241299,0.729806559628882,0.427675665992978,0.797324791628352,0.328509282309035,0.595285631419508
"2259","1970-104",-0.244007987878718,0.786908781588658,-0.00584538851157253,0.862918419055562,-0.0647680253577444,0.680199307598364
"2260","1970-105",-0.482102918271815,0.819198451232587,-0.258710299367899,0.910062749393923,-0.560393776042252,0.795751432779945
"2261","1970-106",0.580244269817791,0.655844848103025,0.438296395834928,0.830742564493048,0.847487253241795,0.53197310689466
"2262","1970-107",-0.241883372243922,0.790861555109529,-0.008350465941374,0.888569042219911,-0.0984904267271724,0.678830598392843
"2263","1970-108",-0.475044218377554,0.830184850198765,-0.259557345230254,0.887770477260828,-0.53272766990165,0.770350546490667
"2264","1970-109",-0.464610864727696,0.819338826282813,-0.239431975888215,0.887711749500207,-0.550820782203951,0.77549427477323
"2265","1970-110",-0.500689197342212,0.838305365324032,-0.266931269795004,0.85977166157883,-0.575610954209005,0.782570430323296
"2266","1970-111",1.16421707776902,0.531990769713818,1.24565366420341,0.677175313983006,1.23953867368356,0.480900754822531
"2267","1970-112",-0.502234469317135,0.838866220819128,-0.26045425155207,0.898463883353992,-0.577685853654434,0.772655511163589
"2268","1970-113",0.832853270567325,0.611295737443223,-0.00153516938407892,0.85841889936962,1.17055491667927,0.492716911422091
"2269","1970-114",-0.492427233305831,0.822411329968421,-0.258824069494259,0.896194166083842,-0.583647452024362,0.776929394978468
"2270","1970-115",1.05041268267917,0.572844512638526,1.23069814267249,0.706257589873809,1.2057776625694,0.510061875110224
"2271","1970-116",-0.491265211789277,0.812569840224293,-0.240230697277478,0.874840970614237,-0.566567146839673,0.775596717461492
"2272","1970-117",0.736437808167749,0.638789392655803,1.19558781304185,0.682863323016799,1.00755206430578,0.484160078310529
"2273","1970-118",-0.451651022158896,0.822004124000388,-0.241848223144022,0.87508893449917,-0.554509770654113,0.765912835959665
"2274","1970-119",-0.495566426650683,0.844857720054364,-0.282347535957989,0.900248813478488,-0.576526198974504,0.784194659358939
"2275","1970-120",-0.469419656450814,0.828364355326706,-0.25731807957182,0.899315086476546,-0.556663926691585,0.75906859308364
"2276","1970-121",0.295245860553983,0.705840966725904,0.622733727874354,0.789568608698753,0.623500702280814,0.570863810017717
"2277","1970-122",0.861345780245681,0.586099960208642,-0.290831700983348,0.888666527386689,0.977242428998155,0.492665037522428
"2278","1970-123",0.112292797638379,0.744937724989297,-0.285720247139547,0.887054257370211,0.28020357778122,0.607888911558899
"2279","1970-124",0.103154212411139,0.719581407503984,0.464721429004641,0.79338982241356,0.352798063139485,0.578973454172934
"2280","1970-125",0.00302229146694581,0.756999239003296,0.242332736036723,0.85908156576127,-0.078594113937513,0.687682464272735
"2281","1970-126",0.0988397449998911,0.7386842725527,-0.282960100060722,0.877487326123964,0.283817746051141,0.615675736376243
"2282","1970-127",-0.493822229945205,0.815149303523761,-0.26366183908481,0.878319762279973,-0.548270871120267,0.766517935732636
"2283","1970-128",-0.501642923858232,0.833250259173539,-0.2504452393322,0.907852980685387,-0.55113761314085,0.774423154290015
"2284","1970-129",0.114206788091587,0.722294721561976,0.452757039112741,0.810415961272766,0.346586078902411,0.571946510033903
"2285","1970-130",0.571834677327768,0.684092581075649,0.455636174952906,0.817366967751289,0.837834377042623,0.546720589568606
"2286","1970-131",-0.506912147476083,0.817184468293502,-0.270508220575675,0.90410011097846,-0.600154191529461,0.78913415855441
"2287","1970-132",0.0864595915058546,0.729377052843933,0.433477199607851,0.792078594724471,0.378216596249491,0.599564680409264
"2288","1970-133",0.138408107744024,0.719663813729323,-0.253169845124993,0.916461564407502,0.285841244255341,0.610153008567619
"2289","1970-134",0.105356857338626,0.739242785910912,-0.274447796731371,0.914824740320996,0.308831480447487,0.608136659740334
"2290","1970-135",0.327913991337416,0.689115351178724,-0.255182525626397,0.911330724219878,0.369671963331386,0.599490853426776
"2291","1970-136",-0.491321729355715,0.823691937846112,-0.265955741746933,0.899034678203516,-0.557534769531656,0.775493765889954
"2292","1970-137",0.771025249590941,0.621741701899542,-0.212167932323756,0.894632572125552,0.841373539290087,0.522958496416918
"2293","1970-138",-0.477596283213125,0.821031125878143,-0.233370372498918,0.873672645120815,-0.59090673186934,0.77679528343717
"2294","1970-139",0.136530580597851,0.725337120323757,0.424816534901801,0.813152252805753,0.341070179358678,0.589380953607938
"2295","1970-140",-0.443835109559861,0.841820394910538,-0.261201920863702,0.88362675269114,-0.596914034359213,0.778848551245576
"2296","1970-141",0.550864108645752,0.656252791795832,-0.269916151137928,0.89331410569712,0.313206951758132,0.604154932950204
